Cottonking Pvt. Ltd. -WH,,,,,,,,,,,,,,,,,,,,,,
STOCK REPORT,,,,,,,,,,,,,,,,,,,,,,
From Date : 12-Mar-2012 To : 12-Mar-2012,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD, ,
ITEM CODE,MRP,Basic Product,Product Specification,Size,Design No.,Production Type,OPENING STOCK,INIT QTY.,CUSTOMER RETURN,STOCK TRN IN,GRN QTY.,QDN/ADJ+,PHYSICAL STOCK (STOCK TAKE) EXCESS,TOTAL RECEIPTS,SOLD QTY.,TR OUT QTY,STOCK DELIVERY,QDN/ADJ-,PHYSICAL STOCK (STOCK TAKE) SHORTAGE,TOTAL OUTWARD,BALANCE STOCK,VALUE
0010010000472,650,SHIRT,HALF - SH,39 CM,5693,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000473,650,SHIRT,HALF - SH,40 CM,5693,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000493,695,SHIRT,HALF - SH,42 CM,6263,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000499,650,SHIRT,HALF - SH,42 CM,5769,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000519,695,SHIRT,HALF - SH,40 CM,6160,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000539,650,SHIRT,HALF - SH,40 CM,6284,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000544,650,SHIRT,FULL - SH,42 CM,6123,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000568,695,SHIRT,FULL - SH,39 CM,6265,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000580,650,SHIRT,FULL - SH,39 CM,6159,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000583,650,SHIRT,FULL - SH,44 CM,6159,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000584,650,SHIRT,HALF - SH,39 CM,6159,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000608,595,SHIRT,HALF - SH,39 CM,6428,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000610,595,SHIRT,HALF - SH,42 CM,6428,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
