lkamravati,Sale Qty
8900000630639,1
8900000513642,2
8900000326624,1
8900000578085,1
8900000623976,1
8900000632398,1
8900000625390,0
8900000626571,1
8900000612482,1
8900000584857,1
8900000585007,1
8900000621682,1
8900000621705,1
8900000585724,1
8900000434374,2
8900000591091,1
8900000507788,1
8900000486557,1
8900000603008,3
8900000628544,1
8900000601486,3
8900000610440,1
8900000398492,1
8900000517121,2
8900000509126,1
8900000403585,1
8900000626144,1
8900000484232,1
8900000396320,1
8900000626496,1
8900000485147,1
8900000509614,1
8900000627653,1
8900000584833,1
8900000397792,0
8900000580200,1
8900000627509,1
8900000489879,1
8900000405602,1
8900000627370,2
8900000617104,1
8900000610266,2
8900000615896,1
8900000599707,1
8900000622313,1
8900000617944,1
8900000443765,1
8900000395149,1
8900000489732,2
8900000582495,1
8900000602452,1
8900000585076,1
8900000625048,3
8900000625185,0
8900000369003,1
8900000572380,2
8900000349685,1
8900000620104,1
8900000631391,1
8900000592357,2
8900000507665,1
8900000397365,1
8900000505524,1
8900000385805,1
8900000504558,1
8900000514250,1
8900000618507,1
8900000626175,1
8900000398584,1
8900000586745,1
8900000513154,1
8900000611799,1
8900000506576,1
8900000600373,1
8900000447480,1
8900000485741,1
8900000512386,0
8900000581764,1
8900000398485,1
8900000617531,1
8900000618095,0
8900000509812,1
8900000627561,1
8900000625062,1
8900000595693,1
8900000477470,1
8900000618514,1
8900000593279,1
8900000632015,1
8900000630172,1
8900000418213,1
8900000616282,2
8900000349678,2
8900000575084,1
8900000617524,1
8900000612567,1
8900000593354,1
8900000616961,1
8900000585403,1
8900000583294,1
8900000485222,1
8900000585731,1
8900000600489,1
8900000582549,1
8900000620944,1
8900000631025,1
8900000599769,1
8900000396351,1
8900000477456,1
8900000630332,2
8900000504039,1
8900000609550,1
8900000574063,1
8900000581672,1
8900000398591,1
8900000626601,1
8900000618521,1
8900000475179,1
8900000601370,1
8900000610938,1
8900000601295,1
8900000628865,1
8900000590995,2
8900000513659,1
8900000632084,1
8900000617418,1
8900000610112,1
8900000632046,1
8900000579464,1
8900000631094,1
8900000614165,1
8900000600854,1
8900000614004,1
8900000596065,1
8900000618194,1
8900000480777,1
8900000609925,1
8900000627622,2
8900000615360,2
8900000619993,1
8900000626090,1
8900000618606,2
8900000595990,1
8900000586219,1
8900000625932,1
8900000486625,1
8900000612840,1
8900000625178,1
8900000630820,1
8900000396313,1
8900000481729,1
8900000385843,1
8900000618101,1
8900000618057,1
8900000584918,1
8900000484317,1
8900000627455,1
8900000624362,2
8900000619214,1
8900000375721,1
8900000616114,1
8900000601257,1
8900000414321,1
8900000574100,1
8900000622290,1
8900000388332,1
8900000480166,1
8900000326617,1
8900000631407,1
8900000581665,1
8900000614837,1
8900000582563,1
8900000608300,1
8900000603114,1
8900000599660,1
8900000606061,1
8900000604203,1
8900000599677,1
8900000491292,1
8900000450879,1
8900000575077,1
8900000408993,1
8900000582525,1
8900000617951,1
8900000628735,1
8900000585441,1
8900000458790,1
8900000596430,1
8900000612543,1
8900000584840,1
8900000512324,2
8900000582907,1
8900000618552,1
8900000446612,1
8900000625215,2
8900000593347,1
8900000630615,1
8900000632039,1
8900000631469,1
8900000612499,1
8900000488551,1
8900000381807,1
8900000488513,2
8900000582259,1
8900000615636,1
8900000619986,1
8900000610877,0
8900000610860,1
8900000630875,1
8900000581771,1
8900000459087,1
8900000595730,1
8900000611782,1
8900000625086,1
8900000600380,1
8900000583140,1
8900000632374,1
8900000631100,1
8900000451333,1
8900000477463,2
8900000618163,1
8900000288700,0
8900000288694,1
8900000601288,2
8900000619306,1
8900000600090,1
8900000509805,1
8900000594993,1
8900000600496,1
8900000607105,1
8900000414536,1
8900000624911,0
8900000628551,1
8900000623969,1
8900000625765,1
8900000617692,1
8900000502462,10
8900000442980,2
8900000617630,1
8900000584826,1
8900000396306,1
8900000511143,1
8900000601356,1
8900000599776,1
8900000593538,1
8900000392605,1
8900000615568,1
8900000349746,1
8900000349753,1
8900000493999,1
8900000583980,0
8900000614028,1
8900000610129,1
8900000630943,0
8900000480180,0
8900000572601,1
8900000398614,1
8900000587025,1
8900000590933,1
8900000487288,0
8900000583096,1
8900000626076,1
8900000618088,1
8900000595594,2
8900000620555,1
